EVENT_ID,TIME_STAMP,TYPE_DESCRIPTION,ONSTREET,DIRECTION,LAT,LONG
399,2013-10-01:05:44,Accident-ambulance rolling,405,1,34.072806,-118.466716
403,2013-10-01:05:45,Accident-ambulance rolling,405,1,34.055739,-118.452239
23,2013-10-01:07:07,Accident-property damage,405,1,34.201261,-118.473583
542,2013-10-01:07:08,Accident-property damage,405,1,34.201261,-118.473583
79,2013-10-01:07:33,Accident-property damage,405,1,33.73596,-117.994291
641,2013-10-01:07:44,Accident-property damage,405,0,33.94135,-118.368237
649,2013-10-01:07:45,Accident-property damage,405,0,34.003097,-118.41111
127,2013-10-01:07:53,Accident-ambulance rolling,405,1,33.776551,-118.08881
92,2013-10-01:07:54,Accident-property damage,405,1,33.685086,-117.896725
98,2013-10-01:07:54,Hit and Run-no injuries,405,1,33.759804,-118.02471
104,2013-10-01:08:14,Accident-property damage,405,1,33.708564,-117.958438
109,2013-10-01:08:31,Accident-property damage,405,0,33.761114,-118.024285
580,2013-10-01:08:35,Accident-no details,405,0,33.707827,-117.954312
19,2013-10-01:08:40,Accident-property damage,405,1,33.756658,-118.019335
122,2013-10-01:08:41,Accident-property damage,405,1,33.756658,-118.019335
123,2013-10-01:08:42,Accident-property damage,405,1,33.731918,-117.988716
144,2013-10-01:09:01,Hit and Run-no injuries,405,1,33.687142,-117.900636
28,2013-10-01:09:08,Accident-property damage,405,1,33.687188,-117.878741
1020,2013-10-01:09:26,Accident-property damage,405,1,33.890806,-118.361313
1020,2013-10-01:09:26,Accident-property damage,405,0,33.891063,-118.361306
1049,2013-10-01:09:34,Hit and Run-no injuries,405,1,33.759804,-118.02471
1148,2013-10-01:09:58,Accident-property damage,405,1,34.233558,-118.472957
1187,2013-10-01:10:10,Hit and Run-no injuries,405,0,34.003097,-118.41111
175,2013-10-01:11:09,Accident-ambulance rolling,405,1,33.697598,-117.940103
163,2013-10-01:11:27,Accident-ambulance rolling,405,0,33.657788,-117.777771
1718,2013-10-01:12:52,Accident-no details,405,1,33.961586,-118.369524
1718,2013-10-01:12:52,Accident-no details,405,1,33.966517,-118.370975
207,2013-10-01:12:57,Accident-ambulance rolling,405,0,33.65497,-117.772868
1805,2013-10-01:13:16,Accident-no details,405,1,34.154179,-118.468226
1805,2013-10-01:13:16,Accident-no details,405,1,34.122693,-118.478562
1805,2013-10-01:13:16,Accident-ambulance rolling,405,1,34.139358,-118.471277
1807,2013-10-01:13:16,Accident-no details,405,1,34.149131,-118.469156
1809,2013-10-01:13:17,Accident-no details,405,1,34.122693,-118.478562
159,2013-10-01:13:19,Accident-no details,405,1,34.149131,-118.469156
1817,2013-10-01:13:20,Accident-no details,405,1,34.1611,-118.469614
160,2013-10-01:13:21,Accident-property damage,405,1,34.149131,-118.469156
1834,2013-10-01:13:23,Accident-no details,405,1,34.151077,-118.468363
213,2013-10-01:13:27,Accident-ambulance rolling,405,1,33.776551,-118.08881
213,2013-10-01:13:27,Accident-ambulance rolling,405,1,33.774849,-118.086326
1853,2013-10-01:13:28,Accident-ambulance rolling,405,1,34.154179,-118.468226
1853,2013-10-01:13:28,Accident-ambulance rolling,405,1,34.122693,-118.478562
1855,2013-10-01:13:28,Accident-ambulance rolling,405,1,33.788248,-118.096429
161,2013-10-01:13:29,Accident-ambulance rolling,405,1,34.151077,-118.468363
43,2013-10-01:13:33,Accident-ambulance rolling,405,1,33.776551,-118.08881
1950,2013-10-01:13:48,Accident-no details,405,0,34.047022,-118.446575
270,2013-10-01:14:15,Accident-property damage,405,0,33.676854,-117.843381
2115,2013-10-01:14:37,Accident-ambulance rolling,405,1,34.160073,-118.469604
2131,2013-10-01:14:38,Hit and Run-no injuries,405,1,33.859753,-118.309149
287,2013-10-01:14:39,Hit and Run-no injuries,405,1,33.774159,-118.049783
115050,2013-10-01:14:43,Accident,405,1,34.173641,-118.467881
2174,2013-10-01:14:51,Accident-no details,405,0,33.872778,-118.341992
2176,2013-10-01:14:51,Accident-no details,405,0,33.864644,-118.326397
196,2013-10-01:14:52,Accident-no details,405,0,33.872778,-118.341992
197,2013-10-01:14:52,Accident-no details,405,0,33.864644,-118.326397
2257,2013-10-01:15:09,Accident-property damage,405,1,34.038994,-118.439912
306,2013-10-01:15:15,Accident-property damage,405,1,33.774246,-118.071496
2312,2013-10-01:15:25,Accident-no details,405,1,34.186646,-118.474262
219,2013-10-01:15:26,Accident-no details,405,1,34.186646,-118.474262
221,2013-10-01:15:28,Accident-property damage,405,1,34.038994,-118.439912
2356,2013-10-01:15:39,Accident-property damage,405,1,33.790411,-118.099358
2502,2013-10-01:16:24,Accident-property damage,405,1,33.975108,-118.384369
2502,2013-10-01:16:24,Accident-property damage,405,1,33.961586,-118.369524
239,2013-10-01:16:28,Accident-property damage,405,1,33.961586,-118.369524
240,2013-10-01:16:28,Accident-property damage,405,1,33.83935,-118.263543
241,2013-10-01:16:29,Accident-property damage,405,1,33.961586,-118.369524
2508,2013-10-01:16:29,Accident-property damage,405,1,33.83935,-118.263543
2630,2013-10-01:17:02,Accident-property damage,405,1,33.85684,-118.284809
527,2013-10-01:17:07,Accident-no details,405,1,33.774298,-118.083132
